"Web Map Service",	"cdb4a032-bb7d-455d-b3dc-e88fa465b7c7",	"Web Services > Information Management Services > Web Map Service",	"regular",	"Earth Science Services > Web Services > Information Management Services > Web Map Service"
"Information Management Services",	"46c929ad-8729-4484-8dc5-0a58a4e696a6",	"Web Services > Information Management Services",	"regular",	"Earth Science Services > Web Services > Information Management Services"
"Web 3D Service",	"4a07f23e-e3f7-4cda-880f-c8cdc6b33e37",	"Web Services > Data Processing Services > Web 3D Service",	"regular",	"Earth Science Services > Web Services > Data Processing Services > Web 3D Service"
"Geolinking Service",	"2a2db13c-c86d-40ea-9fa8-6d2d5bdac08e",	"Web Services > Data Processing Services > Geolinking Service",	"regular",	"Earth Science Services > Web Services > Data Processing Services > Geolinking Service"
"Geolinked Data Access Service",	"8ca62ed6-d6e9-4ab0-97ef-138b0f83f597",	"Web Services > Data Processing Services > Geolinked Data Access Service",	"regular",	"Earth Science Services > Web Services > Data Processing Services > Geolinked Data Access Service"
"Format Conversion Services",	"85b1ed02-700a-4591-b2f7-c997a676332c",	"Web Services > Data Processing Services > Format Conversion Services",	"regular",	"Earth Science Services > Web Services > Data Processing Services > Format Conversion Services"
"Data Processing Services",	"431eca76-9d34-4f86-b1d3-a0b40221e905",	"Web Services > Data Processing Services",	"regular",	"Earth Science Services > Web Services > Data Processing Services"
"Web Portal Services",	"6d77e9d1-d2d1-4b57-a313-0e01e22f799d",	"Web Services > Data Application Services > Web Portal Services",	"regular",	"Earth Science Services > Web Services > Data Application Services > Web Portal Services"
"Geographic Data Management Services",	"75fbafb0-1f0e-47b3-a9c7-e56dea4b0e91",	"Web Services > Data Application Services > Geographic Data Management Services",	"regular",	"Earth Science Services > Web Services > Data Application Services > Geographic Data Management Services"
"Geographic Data Discovery Services",	"9047c8f5-3e5a-4073-8cf5-7f4d5ef783d1",	"Web Services > Data Application Services > Geographic Data Discovery Services",	"regular",	"Earth Science Services > Web Services > Data Application Services > Geographic Data Discovery Services"
"Data Application Services",	"12a00b9e-52b3-44d0-bbfc-d8bb74173323",	"Web Services > Data Application Services",	"regular",	"Earth Science Services > Web Services > Data Application Services"
"Web Services",	"1d550f3a-1c8c-4ef5-beff-74cfe7794f12",	"Web Services",	"bold",	"Earth Science Services > Web Services"
"Knowledge/Decision Systems",	"20ed3fa4-20fa-4531-8b02-dceda8eac81f",	"Reference And Information Services > Knowledge/Decision Systems",	"regular",	"Earth Science Services > Reference And Information Services > Knowledge/Decision Systems"
"Bibliographic",	"80a8ca6d-8471-4d49-a99c-fa5954d93a55",	"Reference And Information Services > Bibliographic",	"regular",	"Earth Science Services > Reference And Information Services > Bibliographic"
"Reference And Information Services",	"a3a5d0dd-0e8f-4649-8a55-25f9251e1008",	"Reference And Information Services",	"bold",	"Earth Science Services > Reference And Information Services"
